long,lat,name,info,a,b,c,d,e,f
-149.885365,61.163949,Grainger #007 7:30 AM - 5:00 PM Alaska (Monday - Friday),(907) 562-5400,6240 B St Anchorage AK,99518 USA
-86.839968,33.444055,Grainger #080 7:30 AM - 5:00 PM Central (Monday - Friday),(205) 942-6741,185 W Oxmoor Rd,Birmingham,AL,35209,USA
-86.7818441,33.5257802,Grainger #081 7:30 AM - 5:00 PM Central (Monday - Friday),(205) 254-9050,3735 First Ave N,Birmingham,AL,35222,USA
-87.055071,34.619014,Grainger #363 7:30 AM - 5:00 PM Central (Monday - Friday),(256) 350-0408,3090 Highway 20,Decatur,AL,35601,USA
-86.631292,34.746643,Grainger #364 7:30 AM - 5:00 PM Central (Monday - Friday),(256) 830-2150,1912 Jordan Lane NW,Huntsville,AL,35816,USA
-88.132569,30.663873,Grainger #504 7:30 AM - 5:00 PM Central (Monday - Friday),(251) 661-1035,1241 Montlimar Dr,Mobile,AL,36609,USA
-86.210694,32.398004,Grainger #507 7:30 AM - 5:00 PM Central (Monday - Friday),(334) 270-0707,541 George Todd Dr,Montgomery,AL,36117,USA
-94.3937798,35.3054245,Grainger #294 7:30 AM - 5:00 PM Central (Monday - Friday),(479) 646-6091,3807 Planters Rd,Ft. Smith,AR,72908,USA
-90.628639,35.821405,Grainger #474 7:30 AM - 5:00 PM Central (Monday - Friday),(870) 972-8677,5304 E Highland Dr,Jonesboro,AR,72401,USA
-92.313334,34.693306,Grainger #432 7:30 AM - 5:00 PM Central (Monday - Friday),(501) 568-7800,6100 Murray St,Little Rock,AR,72209,USA
-94.116574,36.173699,Grainger #802 7:30 AM - 5:00 PM Central (Monday - Friday),(479) 756-2999,1205 S Old Missouri Rd,Springdale,AR,72764,USA
-111.8148028,33.3785988,Grainger #605 6:30 AM - 5:00 PM Mountain (Monday - Friday),(480) 308-7980,775 E Baseline Rd,Gilbert,AZ,85233,USA
-112.102689,33.676997,Grainger #602 6:30 AM - 5:00 PM Pacific (Monday - Friday),(623) 581-0017,2002 W Rose Garden Lane,Phoenix,AZ,85027,USA
-111.9853048,33.4071719,Grainger #604 6:30 AM - 5:00 PM Mountain (Monday - Friday),(480) 966-9797,4465 E Broadway Rd,Phoenix,AZ,85040,USA
-112.1692075,33.4582297,Grainger #600 6:30 AM - 5:00 PM Mountain (Monday - Friday),(602) 269-3115,960 N 51st Ave,Phoenix,AZ,85043,USA
-110.912752,32.1848,Grainger #868 7:00 AM - 5:00 PM Pacific (Monday - Friday),(520) 745-8200,3415 S Dodge Blvd,Tucson,AZ,85713,USA
-117.904905,33.817596,Grainger #442 7:00 AM - 5:00 PM Pacific (Monday - Friday),(714) 776-8514,310 E Ball Rd,Anaheim,CA,92805 USA
-119.0467022,35.3698727,Grainger #054 7:00 AM - 5:00 PM Pacific (Monday - Friday),(661) 327-4651,3900 Easton Dr,Bakersfield,CA,93309,USA
-122.291845,37.851065,Grainger #563 7:00 AM - 5:00 PM Pacific (Monday - Friday),(510) 540-5300,2950 Seventh St,Berkeley,CA,94710,USA
