index,long,lat,name,info
0,-86.80197,33.3757,"Whole Foods-Hoover,AL","3780 Riverchase Village, Hoover,AL 35244, (205) 730-2680|7am to 10pm Seven Days a Week"
1,-86.5904161,34.712443,"Whole Foods-Huntsville,AL","2501 Memorial Pkwy SW, Huntsville,AL 35801, (256) 801-3741|8am to 9pm Seven Days A Week"
2,-88.1504613,30.6761375,"Whole Foods-Mobile,AL","3968 Airport Blvd, Mobile,AL 36608, (251) 206-7028|8:00 a.m. to 9:00 p.m. Seven days a week"
3,-86.1714041,32.3578148,"Whole Foods-Montgomery,AL","1450 Taylor Rd, Montgomery,AL 36117, (334) 523-2940|8:00am - 9:00pm Mon-Sun"
4,-94.1450778,36.1135626,"Whole Foods-Fayetteville,AR","3425 N College Avenue, Fayetteville,AR 72703, (479) 695-5561|STORE: 8am10pm seven days a week; TAPROOM: 3pm10pm"
5,-92.40598299999999,34.750473,"Whole Foods-Little Rock,AR","501 Bowman Road, Little Rock,AR 72211, (501) 221-2331|7:30am to 10:0pm. Seven days a week."
6,-111.892393,33.320132,"Whole Foods-Chandler,AZ","2955 West Ray Road, Chandler,AZ 85224, (480) 821-9447|Open Daily 7:00am -10:00pm"
7,-111.6410751,35.1913071,"Whole Foods-Flagstaff,AZ","320 S Cambridge Lane, Flagstaff,AZ 86001, (928) 774-5747|Open Daily 7am to 9pm"
8,-111.97813400000001,33.584612,"Whole Foods-Phoenix,AZ","10810 N Tatum Blvd, Phoenix,AZ 85028, (602) 569-7600|7am to 10pm seven days a week"
9,-112.037912,33.506196,"Whole Foods Market-Phoenix,AZ","4701 N 20th Street, Phoenix,AZ 85016, (602) 761-4750|7am - 10pm seven days a week"
10,-111.92735400000001,33.654928000000005,"Whole Foods-Phoenix,AZ","7111 E Mayo Blvd, Phoenix,AZ 85054, (480) 515-3777|7am to 10pm Seven days a week"
11,-111.7852765,34.8629323,"Whole Foods-Sedona,AZ","1420 West Hwy 89A, Sedona,AZ 86336, (928) 282-6311|8am - 9pm Monday-Saturday"
12,-111.92969099999999,33.379517,"Whole Foods-Tempe,AZ","5120 S Rural Rd, Tempe,AZ 85282, (480) 456-1400|OPEN DAILY - 7am to 10pm Juice Bar open 7am to 9pm."
13,-110.92153300000001,32.235935,"Whole Foods-Tucson,AZ","3360 E Speedway Blvd, Tucson,AZ 85716, (520) 795-9844|7am - 10pm"
14,-110.873985,32.273719,"Whole Foods-Tucson,AZ","5555 E River Road, Tucson,AZ 85750-1949, (520) 461-1300|7:00 a.m. to 10:00 p.m. Seven days a week."
15,-110.97815200000001,32.335801000000004,"Whole Foods-Tucson,AZ","7133 N Oracle Rd, Tucson,AZ 85704, (520) 352-0111|7:00 am - 10:00 pm Daily"
16,-123.00521979999999,49.2662909,"Whole Foods-Burnaby,BC","4420 Lougheed Highway, Burnaby,BC V5C 3Z3, (604) 205-5032|7:00 am to 10:00 pm. Seven days a week"
17,-123.06613159999999,49.2501488,"Whole Foods-North Vancouver,BC","120 East Vancouver,BC V7L 4W8, (604) 983-1014|8:00 am to 10:00 pm. Seven 7 a week"
18,-123.13319299999999,49.290233,"Whole Foods-Vancouver,BC","1675 Robson Street, Vancouver,BC V6G 1C8, (604) 687-5288|7:30 am to 10 pm. Seven days a week"
19,-123.15691799999999,49.268388,"Whole Foods-Vancouver,BC","2285 West 4th Avenue, Vancouver,BC V6K 1N9, (604) 739-6676|7:30am to 10:00 pm. Seven days a week"
20,-123.11525800000001,49.264039000000004,"Whole Foods-Vancouver,BC","510 West 8th Avenue, Vancouver,BC V5Z 1C5, (778) 370-4210|Store hours 7am-10pm/ Allegro Cafe 6am-9pm (Monday to Friday); 7am-9pm (Weekends)."
21,-123.376,48.4569895,"Whole Foods-Victoria,BC","3587 Blanshard St, Victoria,BC V8Z 0B9, (250) 382-9800|7am to 10pm. Seven days a week"
22,-123.14256599999999,49.325598,"Whole Foods-West Vancouver,BC","925 Main St, West Vancouver,BC V7T 2Z3, (604) 678-0500|7am to 10pm seven days a week"
23,-122.29720359999999,37.8802485,"Whole Foods-Berkeley,CA","1025 Gilman Street, Berkeley,CA 94710, (510) 809-8293|8am-10pm seven days a week."
24,-122.25983400000001,37.85609,"Whole Foods-Berkeley,CA","3000 Telegraph Ave, Berkeley,CA 94705, (510) 649-1333|8am to 10pm seven days a week."
25,-118.39785900000001,34.069018,"Whole Foods-Beverly Hills,CA","239 North Crescent Dr, Beverly Hills,CA 90210, (310) 274-3360|7am to 10pm seven days a week"
26,-117.85212479999998,33.9097336,"Whole Foods-Brea,CA","3301 Imperial Hwy, Brea,CA 92823, (714) 528-7400|7:00 a.m. - 10:00 p.m. Daily"
27,-118.33713999999999,34.1544,"Whole Foods-Burbank,CA","3401 West Olive Avenue, Burbank,CA 91505, (818) 239-5380|7:00am to 10:00pm. Seven days a week"
28,-121.93155,37.29278,"Whole Foods Market-Campbell,CA","1690 South Bascom Ave, Campbell,CA 95008, (408) 371-5000|8am to 10pm - 7 days a week"
29,-121.963826,36.974334999999996,"Whole Foods-Capitola,CA","1710 41st Avenue, Capitola,CA 95010, (831) 464-2900|8am to 9pm seven days a week"
30,-122.0584366,37.974436600000004,"Whole Foods 365-Concord,CA","2085 Diamond Blvd, Concord,CA 94520, (925) 695-3180|8:00am to 10:00pm. Seven days a week."
31,-122.03990900000001,37.323128999999994,"Whole Foods Market-Cupertino,CA","20955 Stevens Creek Blvd, Cupertino,CA 95014, (408) 257-7000|Open 8am-10pm. Coffee"
32,-117.250041,32.980821,"Whole Foods-Del Mar,CA","2600 Via De La Valle, Del Mar,CA 92014, (858) 436-9800|Open 7AM to 10PM daily."
33,-121.8914632,37.7061671,"Whole Foods-Dublin,CA","5200 Dublin Blvd, Dublin,CA 94568, (925) 452-2226|8:00 a.m. to 10:00 p.m. Seven days a week. Join us in the Dublin Vine Taproom from 11am to 930pm (also seven days a week)"
34,-118.39598899999999,33.904149,"Whole Foods-El Segundo,CA","760 South Sepulveda Blvd, El Segundo,CA 90245, (310) 333-1900|7:00 am to 10:00 pm. Seven days a week."
35,-121.11958200000001,38.648862,"Whole Foods-Folsom,CA","270 Palladio Parkway, Folsom,CA 95630, (916) 984-8500|8am to 9pm Monday-Sunday"
36,-121.98412900000001,37.554582,"Whole Foods-Fremont,CA","3111 Mowry Avenue, Fremont,CA 94538, (510) 401-5880|8:00 am to 9:00 pm. Seven days a week."
37,-119.80518400000001,36.808547999999995,"Whole Foods-Fresno,CA","650 W Shaw Ave, Fresno,CA 93704, (559) 241-0300|7:00am to 9:00pm everyday"
38,-118.245595,34.150658,"Whole Foods-Glendale,CA","331 North Glendale Ave, Glendale,CA 91206, (818) 548-3695|7am10pm Seven Days a Week"
39,-117.99148999999998,33.732085,"Whole Foods-Huntington Beach,CA","7881 Edinger Ave Suite 150, Huntington Beach,CA 92647, (657) 200-4200|7am to 10pm seven days a week"
40,-117.233263,32.867942,"Whole Foods-Irvine,CA","8525 Irvine Center Drive, Irvine,CA 92618, (949) 777-8500|Now Open! Business Hours: 7:00 a.m. - 10:00 p.m. Seven days a week"
41,-117.27400209999999,32.8473015,"Whole Foods-La Jolla,CA","8825 Villa La Jolla Dr, La Jolla,CA 92037-9994, (858) 642-6700|Open 7AM to 10PM daily."
42,-122.11771100000001,37.892877,"Whole Foods-Lafayette,CA","3502 Mt Diablo Blvd, Lafayette,CA 94549, (925) 284-5305|7:30am to 9pm seven days a week"
43,-117.78397,33.543968,"Whole Foods-Laguna Beach,CA","283 Broadway St, Laguna Beach,CA 92651, (949) 376-7888|7am to 9pm seven days a week"
44,-117.71373999999999,33.555318,"Whole Foods-Laguna Niguel,CA","23932 Aliso Creek Road, Laguna Niguel,CA 92677, (949) 900-5830|7am - 10pm seven days a week Rock-It Bar 11am - 9pm"
45,-118.1427378,33.830013,"Whole Foods 365-Long Beach,CA","3881 Lakewood Blvd [ste A], Long Beach,CA 90808, (562) 548-1840|7:00am to 10:00pm. Seven days a week"
46,-118.10931699999999,33.755837,"Whole Foods-Long Beach,CA","6550 E Pacific Coast Highway, Long Beach,CA 90803, (562) 598-8687|7am to 10pm seven days a week"
47,-122.109944,37.399097999999995,"Whole Foods-Los Altos,CA","4800 El Camino Real, Los Altos,CA 94022, (650) 559-0300|8am to 10pm seven days a week"
48,-118.447074,34.061174,"Whole Foods-Los Angeles,CA","1050 S Gayley Ave, Los Angeles,CA 90024, (310) 824-0858|7am to 10pm. Seven days a week"
49,-118.437823,34.022915999999995,"Whole Foods-Los Angeles,CA","11666 National Blvd, Los Angeles,CA 90064, (310) 996-8840|7:00 am to 10:00 pm. Seven days a week."
50,-118.46725500000001,34.053543,"Whole Foods-Los Angeles,CA","11737 San Vicente Blvd, Los Angeles,CA 90049, (310) 826-4433|7am to 10pm seven days a week"
51,-118.25916740000001,34.103080600000006,"Whole Foods 365-Los Angeles,CA","2520 Glendale Blvd, Los Angeles,CA 90039, (323) 378-3891|8:00am - 11:00pm Seven days a week"
52,-118.36036499999999,34.071303,"Whole Foods Market-Los Angeles,CA","6350 West 3rd Street, Los Angeles,CA 90036, (323) 964-6800|REGULAR STORE HOURS: 7AM to 11PM"
53,-118.2577197,34.0459958,"Whole Foods Market-Los Angeles,CA","788 S Grand Avenue, Los Angeles,CA 90017, (213) 873-4745|Store Hours: 7:00am to 10:00pm. Seven days a week. The Eight Bar Hours: 11am-10pm"
54,-121.962677,37.236096,"Whole Foods-Los Gatos,CA","15980 Los Gatos Blvd, Los Gatos,CA 95032, (408) 358-4434|7:00am to 9:00pm. Seven days a week."
55,-122.535859,37.896086,"Whole Foods-Mill Valley,CA","414 Miller Ave, Mill Valley,CA 94941, (415) 381-1200|7AM to 9PM Everyday"
56,-122.52569299999999,37.902433,"Whole Foods-Mill Valley,CA","731 East Blithedale, Mill Valley,CA 94941, (415) 381-3900|7:00am to 9:00pm. Seven days a week."
57,-121.900349,36.584438,"Whole Foods-Monterey,CA","800 Del Monte Center, Monterey,CA 93940, (831) 333-1600|8am to 9pm seven days a week"
58,-122.306463,38.322540999999994,"Whole Foods Market-Napa,CA","3682 Bel Aire Plaza, Napa,CA 94558, (707) 224-6300|8 AM to 9 PM everyday. Coffee bar-7 AM to 9 PM. Keg & Barrel Room -12 PM to 8 PM (Happy Hour 3:00-5:00)"
